product_name,page_url,technical_sheet_url,buy_url,calculator_url,summary_public,finish,recommended_use,surface_targets,benefit_tags,application_methods,related_products,coverage_ranges,drying_times,dilution_hints,presentations,inventory_match_name,inventory_match_ref,inventory_match_score,inventory_match_source,canonical_family_from_inventory
Impregnante para madera,https://www.pintuco.com.co/productos/impregnante-para-madera/,https://www.pintuco.com.co/wp-content/uploads/2019/12/impregnante-eco-wood-stain-base-agua.pdf,https://tienda.pintuco.com/,,"Impregnante base agua o tipo lasur es un monocomponente que decora y protege las maderas de manera preventiva contra los rayos del sol, la humedad, el moho, la mancha azul, termitas y comején, conservando la veta natural y dejando un acabado mate, de rápido secado, fácil aplicación y baja emisión de compuestos orgánico",,"Impregnante base agua o tipo lasur es un monocomponente que decora y protege las maderas de manera preventiva contra los rayos del sol, la humedad, el moho, la mancha azul, termitas y comején, conservando la veta natural y dejando un acabado mate, de rápido secado, fácil aplicación y baja emisión de compuestos orgánico",madera | exterior,antihongos | impermeable | rapido_secado,,,,,,1/4 galón | galón,MH TINTES PARA MADERA AMARILL 7420 0.95L,5891261,85.5,db:vw_inventario_agente,MH TINTES PARA MADERA AMARILL
Esmalte Pintulux 3 en 1 Mate,https://www.pintuco.com.co/productos/esmalte-pintulux-3-en-1-mate/,https://www.pintuco.com.co/download/48692/?tmstv=1672344796,https://tienda.pintuco.com/,,"Pintulux 3 en 1 Mate es un esmalte alquídico que evita lijar en superficies con oxidación leve, contiene anticorrosivo y da un hermoso acabado mate.",,"Pintulux 3 en 1 Mate es un esmalte alquídico que evita lijar en superficies con oxidación leve, contiene anticorrosivo y da un hermoso acabado mate.",metal | exterior,anticorrosivo | durabilidad,,pintulux,,,,galón,CINTA TESA 1,51003275,85.5,db:vw_inventario_agente,CINTA TESA
Barniz,https://www.pintuco.com.co/productos/barniz/,https://www.pintuco.com.co/download/48759/?tmstv=1672344796,https://tienda.pintuco.com/,,Estos son algunos de los beneficios que te ofrece Barniz: Alto rendimiento Fácil aplicación Ahorra tiempo y dinero,,Estos son algunos de los beneficios que te ofrece Barniz: Alto rendimiento Fácil aplicación Ahorra tiempo y dinero,,,,,,,,galón,F BARNIZ K1 AUT  GL-END E40 1/4 GL THII,F51019803,90.0,db:vw_inventario_agente,F BARNIZ K1 AUT GL END E40 THII
Pintura Corrotec Aqua,https://www.pintuco.com.co/productos/pintura-corrotec-aqua/,https://www.pintuco.com.co/download/86538/?tmstv=1721231597,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Pintura Corrotec Aqua,"Pintura Corrotec Aqua es una base preparadora anticorrosiva ecológica de metales ferrosos que utiliza agua como solvente para diluir lo que hace que tenga un secado más rápido, se recomienda como primera capa, ideal cuidar la salud en el hogar, por su bajo olor y bajo VOC, sirve para mejorar la resistencia y durabilida",,"Pintura Corrotec Aqua es una base preparadora anticorrosiva ecológica de metales ferrosos que utiliza agua como solvente para diluir lo que hace que tenga un secado más rápido, se recomienda como primera capa, ideal cuidar la salud en el hogar, por su bajo olor y bajo VOC, sirve para mejorar la resistencia y durabilida",metal | madera | interior | exterior,anticorrosivo | rapido_secado | durabilidad,,corrotec,,,Contiene instrucciones de dilución en la página pública,1/4 galón | galon | galón,BROCHA AQUA PRO MADERA 2 PULG PINTUCO,6448789,85.5,db:vw_inventario_agente,BROCHA AQUA PRO MADERA PULG PINTUCO
Pinturama,https://www.pintuco.com.co/productos/pinturama/,https://www.pintuco.com.co/download/48683/?tmstv=1672344795,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Pinturama,"Pinturama Cubriente es una pintura de acabado mate y terso, con alto poder cubriente y muy bajo salpique de bajo VOC.",Mate.,"Pinturama Cubriente es una pintura de acabado mate y terso, con alto poder cubriente y muy bajo salpique de bajo VOC.",,alto_cubrimiento,,,,,,galón | 5 galones,PINTURAMA VERDE CRISTAL 117848 1G,10013503,90.0,db:vw_inventario_agente,PINTURAMA VERDE CRISTAL
Corrotec Wash Primer Aqua,https://www.pintuco.com.co/productos/corrotec-wash-primer-aqua/,https://www.pintuco.com.co/download/51444/?tmstv=1672344806,https://tienda.pintuco.com/,,Wash Primer Base Agua producto para usar como acondicionador de superficies metálicas no ferrosas en un componente que promueve adherencia por medio de una película continúa sobre superficies no ferrosas como aluminio y galvanizado.,,Wash Primer Base Agua producto para usar como acondicionador de superficies metálicas no ferrosas en un componente que promueve adherencia por medio de una película continúa sobre superficies no ferrosas como aluminio y galvanizado.,metal,,,wash primer,,,,1/4 galón | galón,PQ CORROTEC WASH PRIMER BASE AGUA 3.79L,5891755,88.89,backend_lookup,CORROTEC WASH PRIMER BASE AGUA
Corrotec Pintoxido,https://www.pintuco.com.co/productos/corrotec-pintoxido/,https://www.pintuco.com.co/download/51492/?tmstv=1672344806,https://tienda.pintuco.com/,,"Desoxidante pintóxido es un preparador químico de superficies ferrosas que actúa transformando en sales, los óxidos de hierro duros e impermeables que son difíciles de eliminar con limpieza tipo manual- mecánica.",,"Desoxidante pintóxido es un preparador químico de superficies ferrosas que actúa transformando en sales, los óxidos de hierro duros e impermeables que son difíciles de eliminar con limpieza tipo manual- mecánica.",,antibacterial | impermeable | anticorrosivo,,,,,,galón,CORROTEC PINTOXIDO INCOLORO 514 1/4G,20003696,90.0,db:vw_inventario_agente,CORROTEC PINTOXIDO
Pintura Corrotec Anticorrosivo Premium,https://www.pintuco.com.co/productos/pintura-corrotec-anticorrosivo-premium/,https://www.pintuco.com.co/download/48974/?tmstv=1721241663,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Pintura Corrotec Anticorrosivo Premium,Pintura Corrotec Anticorrosivo Premium es una pintura anticorrosiva base solvente y de acabado mate.,,Pintura Corrotec Anticorrosivo Premium es una pintura anticorrosiva base solvente y de acabado mate.,metal | exterior,anticorrosivo | durabilidad,,corrotec,,,,1/4 galón | galon | galón,PINTURA VARIOS,56252453,85.5,db:vw_inventario_agente,PINTURA VARIOS
Corrotec Aluminio ECP-100,https://www.pintuco.com.co/productos/corrotec-aluminio-ecp-100/,https://www.pintuco.com.co/download/51439/?tmstv=1672344806,https://tienda.pintuco.com/,,"Aluminio Líquido Extrareflectivo Brillante ECP 100 es un recubrimiento a base de resinas alquídicas que proporciona un acabado de aluminio brillante con un alto poder reflectivo, fácil aplicación, buena adherencia y cubrimiento; es resistente a la intemperie y a temperaturas máximas de 260°C en seco (No es apto para us",,"Aluminio Líquido Extrareflectivo Brillante ECP 100 es un recubrimiento a base de resinas alquídicas que proporciona un acabado de aluminio brillante con un alto poder reflectivo, fácil aplicación, buena adherencia y cubrimiento; es resistente a la intemperie y a temperaturas máximas de 260°C en seco (No es apto para us",metal | exterior,alto_cubrimiento | durabilidad,,,,,,galón,CORROTEC P. EPOX 50RS GRIS 1G Y CAT 1G,10703066,85.5,db:vw_inventario_agente,CORROTEC P. EPOX 50RS GRIS Y CAT
Estucomastic 2 en 1,https://www.pintuco.com.co/productos/estucomastic/,https://www.pintuco.com.co/download/64446/?tmstv=1728397356,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=estucos&&name_product=Estucomastic 2 en 1,"Estucomastic 2 en 1 es una masilla plástica lista para usar, con doble funcionalidad ya que puede usarse como estuco interior y como masilla para tratamiento de juntas en placas de yeso (drywall).",,"Estucomastic 2 en 1 es una masilla plástica lista para usar, con doble funcionalidad ya que puede usarse como estuco interior y como masilla para tratamiento de juntas en placas de yeso (drywall).",madera | mamposteria | interior,,,estuco,,,,,PQ ESTUCOMASTIC 2 EN 1 WHITE 1K,5951259,90.0,db:vw_inventario_agente,ESTUCOMASTIC EN WHITE 1K
