product_name,page_url,technical_sheet_url,buy_url,calculator_url,summary_public,finish,recommended_use,surface_targets,benefit_tags,application_methods,related_products,coverage_ranges,drying_times,dilution_hints,presentations,inventory_match_name,inventory_match_ref,inventory_match_score,inventory_match_source,canonical_family_from_inventory,decision,decision_note
Impregnante para madera,https://www.pintuco.com.co/productos/impregnante-para-madera/,https://www.pintuco.com.co/wp-content/uploads/2019/12/impregnante-eco-wood-stain-base-agua.pdf,https://tienda.pintuco.com/,,"Impregnante base agua o tipo lasur es un monocomponente que decora y protege las maderas de manera preventiva contra los rayos del sol, la humedad, el moho, la mancha azul, termitas y comején, conservando la veta natural y dejando un acabado mate, de rápido secado, fácil aplicación y baja emisión de compuestos orgánico",,"Impregnante base agua o tipo lasur es un monocomponente que decora y protege las maderas de manera preventiva contra los rayos del sol, la humedad, el moho, la mancha azul, termitas y comején, conservando la veta natural y dejando un acabado mate, de rápido secado, fácil aplicación y baja emisión de compuestos orgánico",madera | exterior,antihongos | impermeable | rapido_secado,,,,,,1/4 galón | galón,MH TINTES PARA MADERA AMARILL 7420 0.95L,5891261,85.5,db:vw_inventario_agente,MH TINTES PARA MADERA AMARILL,cuarentena,Falta señal de familia/marca suficientemente fuerte
Barniz,https://www.pintuco.com.co/productos/barniz/,https://www.pintuco.com.co/download/48759/?tmstv=1672344796,https://tienda.pintuco.com/,,Estos son algunos de los beneficios que te ofrece Barniz: Alto rendimiento Fácil aplicación Ahorra tiempo y dinero,,Estos son algunos de los beneficios que te ofrece Barniz: Alto rendimiento Fácil aplicación Ahorra tiempo y dinero,,,,,,,,galón,F BARNIZ K1 AUT  GL-END E40 1/4 GL THII,F51019803,90.0,db:vw_inventario_agente,F BARNIZ K1 AUT GL END E40 THII,cuarentena,Falta señal de familia/marca suficientemente fuerte
Corrotec Wash Primer Aqua,https://www.pintuco.com.co/productos/corrotec-wash-primer-aqua/,https://www.pintuco.com.co/download/51444/?tmstv=1672344806,https://tienda.pintuco.com/,,Wash Primer Base Agua producto para usar como acondicionador de superficies metálicas no ferrosas en un componente que promueve adherencia por medio de una película continúa sobre superficies no ferrosas como aluminio y galvanizado.,,Wash Primer Base Agua producto para usar como acondicionador de superficies metálicas no ferrosas en un componente que promueve adherencia por medio de una película continúa sobre superficies no ferrosas como aluminio y galvanizado.,metal,,,wash primer,,,,1/4 galón | galón,PQ CORROTEC WASH PRIMER BASE AGUA 3.79L,5891755,88.89,backend_lookup,CORROTEC WASH PRIMER BASE AGUA,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Esmalte Sintético,https://www.pintuco.com.co/productos/domestico/,https://www.pintuco.com.co/download/48989/?tmstv=1672344798,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Esmalte Sintético,"Es un esmalte sintético a base de aceite resistente al agua, con buena durabilidad, alto brillo y adherencia.",,"Es un esmalte sintético a base de aceite resistente al agua, con buena durabilidad, alto brillo y adherencia.",metal,durabilidad,,,,,,1/4 galón | galón | 5 galones,ESMALTE SINTETICO PINTULUX AMARILLO 18 2,10017047,90.0,db:vw_inventario_agente,ESMALTE SINTETICO PINTULUX,cuarentena,Falta señal de familia/marca suficientemente fuerte
Corrotec Wash Primer Base Solvente 509A / 509B,https://www.pintuco.com.co/productos/corrotec-wash-primer-base-solvente-509a-509b/,https://www.pintuco.com.co/download/51254/?tmstv=1672344802,https://tienda.pintuco.com/,,Wash primer base solvente 509A / 509B es un acondicionador de superficies metálicas ferrosas y no ferrosas.,,Wash primer base solvente 509A / 509B es un acondicionador de superficies metálicas ferrosas y no ferrosas.,metal | exterior,anticorrosivo,,wash primer,,,,,KORAZA PLASTICA BASE TINT 2.5G,10127998,85.5,db:vw_inventario_agente,KORAZA PLASTICA .,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Pintura Viniltex Tiza,https://www.pintuco.com.co/productos/pintura-viniltex-tiza/,https://www.pintuco.com.co/download/48670/?tmstv=1672344795,https://tienda.pintuco.com/,,"Viniltex Tiza Es una pintura premium base agua, que permite crear un tablero o pizarra para escribir con tiza en superficies como paredes, cerámica, madera, vidrio o metal.",Mate,"Viniltex Tiza Es una pintura premium base agua, que permite crear un tablero o pizarra para escribir con tiza en superficies como paredes, cerámica, madera, vidrio o metal.",metal | madera | mamposteria,,,viniltex,,,,1/4 galón | galón,VINILTEX PRO 650 MENTA FRESCA 1549 5G,10400587,85.5,db:vw_inventario_agente,VINILTEX PRO 650 MENTA FRESCA,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Intersmooth 7465HS,https://www.pintuco.com.co/productos/intersmooth-7465hs/,https://marinecoatings.brand.akzonobel.com/m/546ecf5032b2b7bd/original/Intersmooth_7465HS_SPC_spa_usa_A4_20210127.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intersmooth 7465HS,Diseñado específicamente para embarcaciones de alta mar.,,Diseñado específicamente para embarcaciones de alta mar.,,,,,,,,5 galones,INTERSMOOTH 7465HS SPC ROJO GALON,10375755,90.0,db:vw_inventario_agente,INTERSMOOTH 7465HS SPC ROJO GALON,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Interspeed 640,https://www.pintuco.com.co/productos/interspeed-640/,https://marinecoatings.brand.akzonobel.com/m/2b7d52f17b0d1f06/original/Interspeed_640_spa_A4_20160519.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Interspeed 640,"Antiincrustante autopulimentante sin TBT, de alta eficacia.",,"Antiincrustante autopulimentante sin TBT, de alta eficacia.",exterior,alto_cubrimiento,,,,,,5 galones,INTERSPEED 640 NEGRO BRA642/5 5G,10128134,90.0,db:vw_inventario_agente,INTERSPEED 640 NEGRO BRA642,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Intershield 6GV,https://www.pintuco.com.co/productos/intershield-6gv/,https://marinecoatings.brand.akzonobel.com/m/643122182505663f/original/Intershield_6GV_USA_eng_usa_A4_20220323.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intershield 6GV,"Para su aplicación donde se requiera un revestimiento de cubierta enrollable, de alta durabilidad, con baja absorción solar y antideslizante.",,"Para su aplicación donde se requiera un revestimiento de cubierta enrollable, de alta durabilidad, con baja absorción solar y antideslizante.",exterior,durabilidad,,,,,,galón,F K INTERSHIELD BRONCE PAR A 2.5G PAR B,F51019932,85.5,db:vw_inventario_agente,F K INTERSHIELD BRONCE PAR A . PAR B,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Intershield 7100LWT,https://www.pintuco.com.co/productos/intershield-7100lwt/,https://marinecoatings.brand.akzonobel.com/m/74c8db4264c4c6c2/original/Intershield_7100LWT_spa_A4_20170117.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intershield 7100LWT,"Como recubrimiento previo a revestimientos, ultraligero, autonivelante para sistemas de cubiertas interiores y exteriores.",,"Como recubrimiento previo a revestimientos, ultraligero, autonivelante para sistemas de cubiertas interiores y exteriores.",interior | exterior,alto_cubrimiento,,,,,,,F K INTERSHIELD BRONCE PAR A 2.5G PAR B,F51019932,85.5,db:vw_inventario_agente,F K INTERSHIELD BRONCE PAR A . PAR B,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Intertherm 3350,https://www.pintuco.com.co/productos/intertherm-3350/,https://international.brand.akzonobel.com/m/5ef1b3d45d00af82/original/Intertherm_3350_eng_A4_20191113.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intertherm 3350,,,,,,,,,,,5 galones,INTERTHERM 50 HTA097/20L/AA7,5864048,85.5,db:vw_inventario_agente,INTERTHERM HTA097,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Intershield 5150LWT,https://www.pintuco.com.co/productos/intershield-5150lwt/,https://marinecoatings.brand.akzonobel.com/m/428b3c78ff6cf193/original/Intershield_5150LWT_spa_A4_20150204.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intershield 5150LWT,"Donde quiera que se requiera un revestimiento aplicable a rodillo, antideslizante, ligero y de alta durabilidad.",,"Donde quiera que se requiera un revestimiento aplicable a rodillo, antideslizante, ligero y de alta durabilidad.",,durabilidad,rodillo,,,,,,F K INTERSHIELD BRONCE PAR A 2.5G PAR B,F51019932,85.5,db:vw_inventario_agente,F K INTERSHIELD BRONCE PAR A . PAR B,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Arena Quarzo G300N,https://www.pintuco.com.co/productos/arena-quarzo-g300n/,https://www.pintuco.com.co/wp-content/uploads/2019/12/ft-arena-quarzo-g300n.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Arena Quarzo G300N,Arena quarzo G300N es una sílice utilizada como aditivo en sistemas de pintado para pavimentos,,Arena quarzo G300N es una sílice utilizada como aditivo en sistemas de pintado para pavimentos,,,,,,,,,ARENA QUARZO G300N UFA850/25KG/AA7,5891610,90.0,db:vw_inventario_agente,ARENA QUARZO G300N,cuarentena,Falta señal de familia/marca suficientemente fuerte
Interthane 990,https://www.pintuco.com.co/productos/interthane-990/,https://international.brand.akzonobel.com/m/2a7bc2f796297109/original/Interthane_990_spa_usa_LTR_20221020.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Interthane 990,,,,,,,,,,,galón,INTERTHANE 990 NARANJA RAL2003 P.A 4.29G,10252270,90.0,db:vw_inventario_agente,INTERTHANE 990 NARANJA RAL2003 P.A .,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Pintunov 100WS,https://www.pintuco.com.co/productos/pintunov-100ws/,https://www.pintuco.com.co/wp-content/uploads/2019/12/ft-pintunov-100ws.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Pintunov 100WS,Pintunov 100WS es un recubrimiento auto imprimante epóxico modificado 100% sólidos.,,Pintunov 100WS es un recubrimiento auto imprimante epóxico modificado 100% sólidos.,exterior,alto_cubrimiento,,,,,,,PINTUNOV 51125 UFA350/20L/AA7,5892594,85.5,db:vw_inventario_agente,PINTUNOV,cuarentena,Falta señal de familia/marca suficientemente fuerte
