product_name,page_url,technical_sheet_url,buy_url,calculator_url,summary_public,finish,recommended_use,surface_targets,benefit_tags,application_methods,related_products,coverage_ranges,drying_times,dilution_hints,presentations,inventory_match_name,inventory_match_ref,inventory_match_score,inventory_match_source,canonical_family_from_inventory,decision,decision_note
Esmalte Pintulux 3 en 1 Mate,https://www.pintuco.com.co/productos/esmalte-pintulux-3-en-1-mate/,https://www.pintuco.com.co/download/48692/?tmstv=1672344796,https://tienda.pintuco.com/,,"Pintulux 3 en 1 Mate es un esmalte alquídico que evita lijar en superficies con oxidación leve, contiene anticorrosivo y da un hermoso acabado mate.",,"Pintulux 3 en 1 Mate es un esmalte alquídico que evita lijar en superficies con oxidación leve, contiene anticorrosivo y da un hermoso acabado mate.",metal | exterior,anticorrosivo | durabilidad,,pintulux,,,,galón,CINTA TESA 1,51003275,85.5,db:vw_inventario_agente,CINTA TESA,rechazado,El match contra inventario parece kit/accesorio/promoción o basura comercial
Pintura Corrotec Aqua,https://www.pintuco.com.co/productos/pintura-corrotec-aqua/,https://www.pintuco.com.co/download/86538/?tmstv=1721231597,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Pintura Corrotec Aqua,"Pintura Corrotec Aqua es una base preparadora anticorrosiva ecológica de metales ferrosos que utiliza agua como solvente para diluir lo que hace que tenga un secado más rápido, se recomienda como primera capa, ideal cuidar la salud en el hogar, por su bajo olor y bajo VOC, sirve para mejorar la resistencia y durabilida",,"Pintura Corrotec Aqua es una base preparadora anticorrosiva ecológica de metales ferrosos que utiliza agua como solvente para diluir lo que hace que tenga un secado más rápido, se recomienda como primera capa, ideal cuidar la salud en el hogar, por su bajo olor y bajo VOC, sirve para mejorar la resistencia y durabilida",metal | madera | interior | exterior,anticorrosivo | rapido_secado | durabilidad,,corrotec,,,Contiene instrucciones de dilución en la página pública,1/4 galón | galon | galón,BROCHA AQUA PRO MADERA 2 PULG PINTUCO,6448789,85.5,db:vw_inventario_agente,BROCHA AQUA PRO MADERA PULG PINTUCO,rechazado,El match contra inventario parece kit/accesorio/promoción o basura comercial
Pintura Corrotec Anticorrosivo Premium,https://www.pintuco.com.co/productos/pintura-corrotec-anticorrosivo-premium/,https://www.pintuco.com.co/download/48974/?tmstv=1721241663,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Pintura Corrotec Anticorrosivo Premium,Pintura Corrotec Anticorrosivo Premium es una pintura anticorrosiva base solvente y de acabado mate.,,Pintura Corrotec Anticorrosivo Premium es una pintura anticorrosiva base solvente y de acabado mate.,metal | exterior,anticorrosivo | durabilidad,,corrotec,,,,1/4 galón | galon | galón,PINTURA VARIOS,56252453,85.5,db:vw_inventario_agente,PINTURA VARIOS,rechazado,El match contra inventario parece kit/accesorio/promoción o basura comercial
Corrotec Aluminio ECP-100,https://www.pintuco.com.co/productos/corrotec-aluminio-ecp-100/,https://www.pintuco.com.co/download/51439/?tmstv=1672344806,https://tienda.pintuco.com/,,"Aluminio Líquido Extrareflectivo Brillante ECP 100 es un recubrimiento a base de resinas alquídicas que proporciona un acabado de aluminio brillante con un alto poder reflectivo, fácil aplicación, buena adherencia y cubrimiento; es resistente a la intemperie y a temperaturas máximas de 260°C en seco (No es apto para us",,"Aluminio Líquido Extrareflectivo Brillante ECP 100 es un recubrimiento a base de resinas alquídicas que proporciona un acabado de aluminio brillante con un alto poder reflectivo, fácil aplicación, buena adherencia y cubrimiento; es resistente a la intemperie y a temperaturas máximas de 260°C en seco (No es apto para us",metal | exterior,alto_cubrimiento | durabilidad,,,,,,galón,CORROTEC P. EPOX 50RS GRIS 1G Y CAT 1G,10703066,85.5,db:vw_inventario_agente,CORROTEC P. EPOX 50RS GRIS Y CAT,rechazado,El match contra inventario parece kit/accesorio/promoción o basura comercial
Intersleek 1100SR,https://www.pintuco.com.co/productos/intersleek-1100sr/,https://marinecoatings.brand.akzonobel.com/m/74c8db4264c4c6c2/original/Intershield_7100LWT_spa_A4_20170117.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intersleek 1100SR,,,,,,,,,,,,INTERSLEEK 1100SR PARTE C 0.42G,10367537,90.0,db:vw_inventario_agente,INTERSLEEK 1100SR PARTE C .,rechazado,El match contra inventario parece kit/accesorio/promoción o basura comercial
Intersleek 731,https://www.pintuco.com.co/productos/intersleek-731/,https://marinecoatings.brand.akzonobel.com/m/3620090548322fbb/original/Intersleek_731_spa_usa_A4_20161118.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intersleek 731,Intermedio elastomérico de silicón de dos componentes.,,Intermedio elastomérico de silicón de dos componentes.,,,,,,,,,INTERSLEEK 731 PARTE B 1G,10367539,90.0,db:vw_inventario_agente,INTERSLEEK,rechazado,El match contra inventario parece kit/accesorio/promoción o basura comercial
Polibrid 705E,https://www.pintuco.com.co/productos/polibrid-705e/,https://international.brand.akzonobel.com/m/34074909b235f3ad/original/Polibrid_705E_spa_A4_20230210.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Polibrid 705E,"Polibrid 705E es un revestimiento flexible de alto espesor diseñado para proteger el hormigón y el acero en entornos químicos, de abrasión y de alto impacto, ideal para encapsular remaches, pernos, bordes y otras imperfecciones de la superficie.",,"Polibrid 705E es un revestimiento flexible de alto espesor diseñado para proteger el hormigón y el acero en entornos químicos, de abrasión y de alto impacto, ideal para encapsular remaches, pernos, bordes y otras imperfecciones de la superficie.",metal,,,,,,,,POLIBRID 705 TAN PARTE A - PEA046/50GL T,10289692,96.0,backend_lookup,POLIBRID 705 TAN PEA046 T,rechazado,El match contra inventario parece kit/accesorio/promoción o basura comercial
Interline 975P,https://www.pintuco.com.co/productos/interline-975p/,https://international.brand.akzonobel.com/m/617498615a28565c/original/Interline_975P_spa_usa_LTR_20230117.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Interline 975P,"Para aplicación en interior de tanques de acero ofreciendo resistencia a la corrosión para un amplio rango de cargas, incluyendo Petróleo crudo, derivados claros del petróleo y agua potable.",,"Para aplicación en interior de tanques de acero ofreciendo resistencia a la corrosión para un amplio rango de cargas, incluyendo Petróleo crudo, derivados claros del petróleo y agua potable.",metal | interior,anticorrosivo,,,,,,,INTERLINE 975P PARTE B THA962 1.5G,10397819,90.0,db:vw_inventario_agente,INTERLINE 975P THA962 .,rechazado,El match contra inventario parece kit/accesorio/promoción o basura comercial
Interplate 855,https://www.pintuco.com.co/productos/interplate-855/,https://international.brand.akzonobel.com/m/1c6c580f48e9e430/original/Interplate_855_spa_A4_20170313.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Interplate 855,Como imprimación temporal protectora del recubrimiento del acero antes del proceso de fabricación.,,Como imprimación temporal protectora del recubrimiento del acero antes del proceso de fabricación.,metal,alto_cubrimiento,,,,,,,INTERPLATE 937 GRIS PARTE A 1.88 GAL,10336788,88.0,backend_lookup,INTERPLATE 937 GRIS 1.88 GAL,rechazado,El match contra inventario parece kit/accesorio/promoción o basura comercial
Intergard 269,https://www.pintuco.com.co/productos/intergard-269/,https://international.brand.akzonobel.com/m/a0e0d699998cdea/original/Intergard_269_spa_A4_20231208.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Intergard 269,"Como imprimación para mantenimiento de chorro apta para su uso en condiciones sumergidas y ambientales, y repintable por una amplia gama de sistemas de alto rendimiento.",,"Como imprimación para mantenimiento de chorro apta para su uso en condiciones sumergidas y ambientales, y repintable por una amplia gama de sistemas de alto rendimiento.",metal,,,,,,,,INTERGARD 269 PARTE A ROJO EGA088/5 4G,10128241,90.0,db:vw_inventario_agente,INTERGARD,rechazado,El match contra inventario parece kit/accesorio/promoción o basura comercial
