product_name,page_url,technical_sheet_url,buy_url,calculator_url,summary_public,finish,recommended_use,surface_targets,benefit_tags,application_methods,related_products,coverage_ranges,drying_times,dilution_hints,presentations,inventory_match_name,inventory_match_ref,inventory_match_score,inventory_match_source,canonical_family_from_inventory,decision,decision_note
Pinturama,https://www.pintuco.com.co/productos/pinturama/,https://www.pintuco.com.co/download/48683/?tmstv=1672344795,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Pinturama,"Pinturama Cubriente es una pintura de acabado mate y terso, con alto poder cubriente y muy bajo salpique de bajo VOC.",Mate.,"Pinturama Cubriente es una pintura de acabado mate y terso, con alto poder cubriente y muy bajo salpique de bajo VOC.",,alto_cubrimiento,,,,,,galón | 5 galones,PINTURAMA VERDE CRISTAL 117848 1G,10013503,90.0,db:vw_inventario_agente,PINTURAMA VERDE CRISTAL,seguro_para_enriquecimiento,"Fuente pública útil para enriquecer perfiles, no para reemplazar fichas"
Corrotec Pintoxido,https://www.pintuco.com.co/productos/corrotec-pintoxido/,https://www.pintuco.com.co/download/51492/?tmstv=1672344806,https://tienda.pintuco.com/,,"Desoxidante pintóxido es un preparador químico de superficies ferrosas que actúa transformando en sales, los óxidos de hierro duros e impermeables que son difíciles de eliminar con limpieza tipo manual- mecánica.",,"Desoxidante pintóxido es un preparador químico de superficies ferrosas que actúa transformando en sales, los óxidos de hierro duros e impermeables que son difíciles de eliminar con limpieza tipo manual- mecánica.",,antibacterial | impermeable | anticorrosivo,,,,,,galón,CORROTEC PINTOXIDO INCOLORO 514 1/4G,20003696,90.0,db:vw_inventario_agente,CORROTEC PINTOXIDO,seguro_para_enriquecimiento,"Fuente pública útil para enriquecer perfiles, no para reemplazar fichas"
Estucomastic 2 en 1,https://www.pintuco.com.co/productos/estucomastic/,https://www.pintuco.com.co/download/64446/?tmstv=1728397356,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=estucos&&name_product=Estucomastic 2 en 1,"Estucomastic 2 en 1 es una masilla plástica lista para usar, con doble funcionalidad ya que puede usarse como estuco interior y como masilla para tratamiento de juntas en placas de yeso (drywall).",,"Estucomastic 2 en 1 es una masilla plástica lista para usar, con doble funcionalidad ya que puede usarse como estuco interior y como masilla para tratamiento de juntas en placas de yeso (drywall).",madera | mamposteria | interior,,,estuco,,,,,PQ ESTUCOMASTIC 2 EN 1 WHITE 1K,5951259,90.0,db:vw_inventario_agente,ESTUCOMASTIC EN WHITE 1K,seguro_para_enriquecimiento,"Fuente pública útil para enriquecer perfiles, no para reemplazar fichas"
Mega Primer 2K MG6001,https://www.pintuco.com.co/productos/mega-primer-2k-mg-6001/,https://www.pintuco.com.co/download/60688/?tmstv=1672344816,https://tienda.pintuco.com/,,"Mega Primer 2K MG 6001 es un producto dos (2) componentes de secado al aire con excelentes propiedades de adherencia, fácil lijado, alto contenido de sólidos, alto poder de relleno y muy buen cubrimiento en la aplicación.",,"Mega Primer 2K MG 6001 es un producto dos (2) componentes de secado al aire con excelentes propiedades de adherencia, fácil lijado, alto contenido de sólidos, alto poder de relleno y muy buen cubrimiento en la aplicación.",exterior,alto_cubrimiento | rapido_secado,,,,,,,MEG PRIMER 2K MG6001 AC 3.78L,5893423,97.56,backend_lookup,MEG PRIMER 2K MG6001 AC,seguro_para_enriquecimiento,"Fuente pública útil para enriquecer perfiles, no para reemplazar fichas"
Esmalte Pintulux,https://www.pintuco.com.co/productos/esmalte-pintulux/,https://www.pintuco.com.co/download/48965/?tmstv=1672344797,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=vinilos-decorativos&&name_product=Esmalte Pintulux,"Pintulux Maxima protección es un esmalte alquídico diseñado para interiores y exteriores de excelente adherencia, durabilidad prolongada y máxima resistencia a la Intemperie con un alto cubrimiento y buen rendimiento.",,"Pintulux Maxima protección es un esmalte alquídico diseñado para interiores y exteriores de excelente adherencia, durabilidad prolongada y máxima resistencia a la Intemperie con un alto cubrimiento y buen rendimiento.",interior | exterior,alto_cubrimiento | durabilidad,,pintulux,,,,1/4 galón | galón | 5 galones,ESMALTE PINTULUX ROJO 29 1/8G,10017724,90.0,db:vw_inventario_agente,ESMALTE PINTULUX,seguro_para_enriquecimiento,"Fuente pública útil para enriquecer perfiles, no para reemplazar fichas"
Poliuretano Mega,https://www.pintuco.com.co/productos/poliuretano-mega/,https://www.pintuco.com.co/wp-content/uploads/2019/12/ft-sistema-mega-poliuretano-1.pdf,https://tienda.pintuco.com/,,"Poliuretano Mega (PU brillante MG6004/MG6005) productos poliuretanos de dos (2) componentes, de secado al aire con acabado brillante, buena durabilidad y resistencia química.",,"Poliuretano Mega (PU brillante MG6004/MG6005) productos poliuretanos de dos (2) componentes, de secado al aire con acabado brillante, buena durabilidad y resistencia química.",,rapido_secado | durabilidad,,,,,,,MEGA POLIURETANO NEGRO 605 GAL,F51060585,100.0,backend_lookup,MEGA POLIURETANO NEGRO 605 GAL,seguro_para_enriquecimiento,"Fuente pública útil para enriquecer perfiles, no para reemplazar fichas"
Altas Temperaturas 905,https://www.pintuco.com.co/productos/corrotec-altas-temperaturas-905-232c-590c/,https://www.pintuco.com.co/wp-content/uploads/2019/12/FT-ALTAS-TEMPERATURAS-905.pdf,https://tienda.pintuco.com/,,"Pintura altas temperaturas 905 (232°c-590°c) es una pintura a base de silicona y grafito, de excelente adherencia, flexibilidad y resistencia a temperaturas hasta 590°C máximo, en seco, en ambientes interiores y exteriores.",,"Pintura altas temperaturas 905 (232°c-590°c) es una pintura a base de silicona y grafito, de excelente adherencia, flexibilidad y resistencia a temperaturas hasta 590°C máximo, en seco, en ambientes interiores y exteriores.",interior | exterior,,,,,,,galon,ALTAS TEMPERATURAS 905 UEA900/3.7L/AA7,5890599,90.0,db:vw_inventario_agente,ALTAS TEMPERATURAS,seguro_para_enriquecimiento,"Fuente pública útil para enriquecer perfiles, no para reemplazar fichas"
Altas Temperaturas 904,https://www.pintuco.com.co/productos/corrotec-altas-temperaturas-904-0c-290c/,https://www.pintuco.com.co/wp-content/uploads/2019/12/FT-ALTAS-TEMPERATURAS-904.pdf,https://tienda.pintuco.com/,,"Altas temperaturas 904 (0°c-290°c) es una pintura alquídica aluminio de excelente adherencia, flexibilidad, durabilidad y resistencia a temperaturas hasta 290°C máximo, en seco, en ambientes interiores.",,"Altas temperaturas 904 (0°c-290°c) es una pintura alquídica aluminio de excelente adherencia, flexibilidad, durabilidad y resistencia a temperaturas hasta 290°C máximo, en seco, en ambientes interiores.",metal | interior,durabilidad,,,,,,galon,ALTAS TEMPERATURAS 904 UEA850/3.7L/AA7,5890598,90.0,db:vw_inventario_agente,ALTAS TEMPERATURAS,seguro_para_enriquecimiento,"Fuente pública útil para enriquecer perfiles, no para reemplazar fichas"
Epoxy Primer 10050,https://www.pintuco.com.co/productos/corrotec-primer-epoxico-10050-13227/,https://www.pintuco.com.co/wp-content/uploads/2019/12/FT-EPOXY-PRIMER-10050.pdf,https://tienda.pintuco.com/,,"Corrotec primer epóxico 10050/13227 es anticorrosiva epóxica de dos componentes, con óxido de hierro y un endurecedor poliamínico, que al mezclarse en las proporciones apropiadas produce al aplicarla, una capa sólida, dura, resistente a aguas dulces potables o saladas, ácidos débiles, sales álcalis, disolventes alifáti",,"Corrotec primer epóxico 10050/13227 es anticorrosiva epóxica de dos componentes, con óxido de hierro y un endurecedor poliamínico, que al mezclarse en las proporciones apropiadas produce al aplicarla, una capa sólida, dura, resistente a aguas dulces potables o saladas, ácidos débiles, sales álcalis, disolventes alifáti",interior | exterior,anticorrosivo | durabilidad,,corrotec,,,,1/4 galón | galon | galón,EPOXY PRIMER 10050 UEA301/3.7L/AA7,5890548,90.0,db:vw_inventario_agente,EPOXY PRIMER,seguro_para_enriquecimiento,"Fuente pública útil para enriquecer perfiles, no para reemplazar fichas"
Acrílica base agua,https://www.pintuco.com.co/productos/acrilica-base-agua/,https://www.pintuco.com.co/wp-content/uploads/2019/12/ft-acrilica-base-agua.pdf,https://tienda.pintuco.com/,,"Acrílica base agua es un recubrimiento acrílico base agua, en un solo componente, de acabado brillante con excelente durabilidad tanto en ambientes interiores como exteriores, buena retención del color y brillo, y buena resistencia química.",,"Acrílica base agua es un recubrimiento acrílico base agua, en un solo componente, de acabado brillante con excelente durabilidad tanto en ambientes interiores como exteriores, buena retención del color y brillo, y buena resistencia química.",interior | exterior,alto_cubrimiento | durabilidad,,,,,,galon,ACRILICA BASE AGUA BASE PROFUNDA PARA 13,10281796,90.0,db:vw_inventario_agente,ACRILICA BASE AGUA BASE PROFUNDA PARA,seguro_para_enriquecimiento,"Fuente pública útil para enriquecer perfiles, no para reemplazar fichas"
