referencia,descripcion,marca,stock,ultima_venta,total_uds_vendidas,n_transacciones,estado
5864461,MEG BC MG32L2 ALUM LENT GRUESO AC 3.78L,57,6.0,2026-03-05,17.0,15,ACTIVO
5890710,PQ KORAZA MAT LADRILLO 2804 3.79L,58,23.0,2026-04-13,1289.0,664,ACTIVO
5891397,TE VINIL LATEX MAT B PASTEL 65200 18.93L,63,75.0,2026-04-09,689.0,390,ACTIVO
5890935,MH VITRIFLEX SM 2130 3.79L,59,3.0,2026-03-09,71.0,41,ACTIVO
5891273,MEG PRIMER PARA PLASTICOS 28600 AC 0.94L,57,18.0,2026-04-11,3003.0,593,ACTIVO
5890525,MH BARNIZ INT MAT INCOLORO 559 0.95L,59,34.0,2026-04-10,173.0,124,ACTIVO
F51060638,SELLADOR POLIURETANO PU46 GRIS 310ML,0,64.0,2026-03-19,108.0,16,ACTIVO
5893666,PQ AEROCOLOR MULTISU MAT NEGRO 0.3L,58,28.0,2026-04-10,3883.0,870,ACTIVO
5893872,PQ KORAZA PINT IMPER TINT 38217 3.79L,58,15.0,2026-03-27,17.0,12,ACTIVO
F6514524,"TELA ESMERIL MULTIFLEX #80 6""""""",0,223.0,2026-04-13,6056.13,359,ACTIVO
5892277,PQ PINTUCO FILL 7 GRIS 2753 1.2K,58,21.0,2026-04-08,794.0,282,ACTIVO
5892606,TE VINIL PLUS MAT DEEP BASE 95202 9.46L,63,32.0,2026-04-07,110.0,104,ACTIVO
5892120,P7 DRYWALL TIPO 2 BLANCO 3780 3.79L,56,13.0,2026-03-26,277.0,87,ACTIVO
5857739,PQ COLORANTE BAJO VOC AMARIL ORGAN 0.95L,55,237.0,2026-03-31,405.0,217,ACTIVO
F51059775,CERRADURA 105-50 2BULONE DERECHA SKU7191,0,87.0,2026-04-10,1991.0,471,ACTIVO
F51059742,"BANDA X85 #120 DE 3""x21""",0,0,2025-09-22,10.0,1,ACTIVO
5901920,PQ KORAZA MAT BASE PASTEL 127474 18.93L,58,27.0,2026-04-11,1224.0,830,ACTIVO
F6514826,"RODILLO FELPA MASTDER 3""""""",0,51.0,2026-04-13,76.0,15,ACTIVO
5890914,PQ DOMESTICO BR BAS TINT 12285 3.79L,58,51.0,2026-03-16,515.0,176,ACTIVO
5854977,PQ COLORANTE BAJO VOC AZUL 0.95L,55,254.0,2026-04-06,610.0,326,ACTIVO
5864402,MEG BC MG32A1 ESTABILIZADOR AC 3.78L,57,6.0,2026-04-11,21.0,18,ACTIVO
5893239,ACRILICA MANT MATE 22A11A/20L/AA7,54,11.0,2026-04-10,73.0,29,ACTIVO
5890704,PQ INTERVINIL MAT BASE PASTE 17384 3.79L,58,13.0,2026-03-27,14.0,11,ACTIVO
5890512,PQ DOMESTICO BR TABACO CLARO P-70 0.95L,58,47.0,2026-04-11,772.0,314,ACTIVO
F51060262,PINTURA EN AERO USO GRAL NEGRO BRILL 350,0,182.0,2026-04-06,1032.0,188,ACTIVO
5893649,PQ AEROCOLOR MULTISU BR NEGRO 0.3L,58,126.0,2026-04-13,5001.0,867,ACTIVO
5891023,PQ KORAZA MAT BLANCO 2650 9.46L,58,47.0,2026-04-11,1793.0,1466,ACTIVO
5890466,TE VINIL PLUS MAT BASE PASTE 95200 0.95L,63,110.0,2026-03-30,1472.0,652,ACTIVO
F51060669,BISAGRA COMUN 2 LATON  T1103-0043,0,23.0,2026-04-10,79.0,28,ACTIVO
F51060749,CERRADURA SOBRE PHILLIPS PRO70 SKU8787,0,3.0,2025-11-28,2.0,2,ACTIVO
5891297,PQ ESGRAFIADO MAT BLANCO 30401 3.79L 6K,58,22.0,2026-04-09,540.0,339,ACTIVO
5864451,MEG CLEAR HS 2K RFU5500 AC 3.78L,57,69.0,2026-03-27,363.0,130,ACTIVO
6449176,PQ CINTA SELLA GOTERAS 27293 15CMX10,58,6.0,2026-04-11,89.0,65,ACTIVO
6442278,PQ RODILLO ANTIGOTA 9 PULG 3/8,65,252.0,2026-04-11,13344.0,3294,ACTIVO
5894371,ZP MONTANA 94 MAT ROJO M EX0140241M 0.4L,65,22.0,2026-04-01,262.0,179,ACTIVO
5892038,P7 KIT EPOXICA B SOLVENT BLA 13580 3.79L,56,4.0,2026-01-13,64.0,29,ACTIVO
5890909,PQ DOMESTICO BR TABACO CLARO P-70 3.79L,58,38.0,2026-04-09,672.0,345,ACTIVO
5864222,MEG FLASH CLEAR HS 9410 AC 0.94L,57,45.0,2026-04-11,183.0,92,ACTIVO
5892932,ZP MONTANA 94 MAT MARRON CHIA RV-97 0.4L,65,44.0,2026-04-09,194.0,157,ACTIVO
5893674,PQ AEROCOLOR MULTISU BR VERDE JADE 0.3L,58,115.0,2026-04-09,1002.0,180,ACTIVO
F51060419,"DISCO FLAP ABRACOL 41/2"" #80",0,10.0,2026-03-27,311.0,27,ACTIVO
F51060593,CANDADO PHILLIPS COMBI PH4D 40 SKU1111,0,5.0,2026-04-09,23.0,8,ACTIVO
5891700,PQ KORAZA MAT BASE TINT 0.95L,58,57.0,2026-04-11,1558.0,998,ACTIVO
5892337,P7 MICROESFERAS REFLECTIVA TIPO II 25K,56,0,2025-11-05,14.0,5,ACTIVO
5892394,PQ PINTULUX MP BR COBRE 65 3.79L,58,26.0,2026-03-25,133.0,88,ACTIVO
F9017239AB,ESTUCOR BULTO *25 KL LISTO,0,7.5,2026-03-31,181.5,85,ACTIVO
5891701,PQ KORAZA MAT DEEP BASE 0.95L,58,72.0,2026-04-11,3695.0,2239,ACTIVO
5890498,PQ DOMESTICO GL BLANCO P-11 0.95 L,58,93.0,2026-04-11,5390.0,1515,ACTIVO
9076878,PQ VTX ADV PRECIO ESPEC B PASTEL 5G DIST,58,40.0,2026-04-08,4.0,2,ACTIVO
F51060839,"BISAGRA MUEBLE 3"" LAT C18 T1105-0064",0,9.0,2026-03-16,1.0,1,ACTIVO
5890912,PQ DOMESTICO BR VERDE OLIVA P-93 3.79L,58,34.0,2026-02-27,146.0,68,ACTIVO
5892240,PQ VINILTEX ADV MAT BLANCO 1501 3.79L PE,58,400.0,2026-04-13,2992.0,1272,ACTIVO
5891195,TE VINIL PLUS MAT DEEP BASE 95202 18.93L,63,20.0,2026-04-07,210.0,148,ACTIVO
5890520,PQ DOMESTICO MAT NEGRO 290W 0.95L,58,35.0,2026-04-10,1395.0,533,ACTIVO
6441629,BROCHA PROF PLASTICO BCA 2.5 PUL PINTUCO,65,601.0,2026-04-13,2530.0,1137,ACTIVO
F51060393,"DISCO VELCRO ROJO #150 5""X5h",0,115.0,2026-04-13,3403.0,136,ACTIVO
5891834,MEG CRYSTAL CLEAR 9400 AC 3.78L,57,0.0,2026-04-01,361.0,153,ACTIVO
5893467,ZP MONTANA 94 MAT CHOCO EX0140035M 0.4L,65,3.0,2026-02-27,183.0,149,ACTIVO
5892752,PQ AEROCOLOR ELECT BR GRIS PLATINO 0.3L,58,5.0,2026-02-03,76.0,23,ACTIVO
F51060659,CAJA PLASTICA 4X4 NEGRO T1202-0049,0,248.0,2026-02-12,160.0,5,ACTIVO
F6514824,"RODILLO TEXTURIZADO GOYA 9""""""",0,34.0,2026-03-20,78.0,25,ACTIVO
5892928,ZP MONTANA 94 MAT MARRON JAI RV-191 0.4L,65,3.0,2026-03-10,99.0,79,ACTIVO
5891274,MH PISOS TRAFIC ALT A BR INCO 1550 0.95L,59,69.0,2026-04-10,703.0,354,ACTIVO
5891013,PQ VINILTEX ADV MAT PASTEL 117174 9.46L,58,21.0,2026-04-11,1035.0,983,ACTIVO
5890838,TE VINIL PLUS MAT NEGRO 95109 3.79L,63,4.0,2025-05-24,8.0,6,ACTIVO
F6014105,BELL WOOD GOLD A40S BAÑO,0,13.0,2026-03-19,21.0,12,ACTIVO
F51060694,SUPERADHESIVO INSTANTÁNEO 5Gr,0,501.0,2026-04-10,1341.0,160,ACTIVO
6446981,PQ TELA DE REFUERZO 2800 50 METRO,58,39.0,2026-04-10,183.0,121,ACTIVO
5891467,PQ CORROTEC PREMIUM MAT BLANCO 508 0.95L,58,58.0,2026-04-09,355.0,200,ACTIVO
5892333,PQ ESGRAFIADO EST MAT 40401 18.93L 30K,58,71.0,2026-04-11,2355.0,444,ACTIVO
5891066,AJUSTADOR XILOL 21204 GTA007/20L/AA7,54,6.0,2026-04-13,120.2,75,ACTIVO
F51060226,"CINTA SMITH DOBLE FAZ 1 X 5,5 m",0,93.0,2026-03-21,464.0,54,ACTIVO
5894338,ZP MONTANA 94 MAT NEGRO EX0149011M 0.4L,65,111.0,2026-04-10,1149.0,660,ACTIVO
5890706,PQ PINTURAMA MAT BLANCO 117800 3.79L,58,19.0,2026-03-20,107.0,49,ACTIVO
5893016,P7 PINTUTRAF BS AMARILLO 13755-659 0.95L,56,12.0,2026-04-01,48.0,42,ACTIVO
F51060624,"REPUESTO ESPUMA DE ALTA DENSIDAD 4""",0,57.0,2025-11-13,21.0,4,ACTIVO
5855019,PQ COLORANTE BAJO VOC ROJO OXIDO 0.95L,55,224.0,2026-04-06,193.0,112,ACTIVO
F51060746,BROCA 3/32 METAL ABRACOL,0,65.0,2026-03-18,213.0,20,ACTIVO
5891121,PQ ESTUCO PROF EXT BL 27060 18.93L 30K,58,60.0,2026-04-13,2288.0,1022,ACTIVO
5864455,MEG HARDENER EXPRESS E50 AC 0.94L,57,16.0,2026-04-10,193.0,75,ACTIVO
6442275,PQ BROCHA ESTANDAR CERDA BLANCA 2.5 PULG,65,86.0,2026-04-10,454.0,159,ACTIVO
5890773,IQ VINILICO MAT AZUL MEDIT 2027780 3.79L,62,16.0,2026-03-18,136.0,81,ACTIVO
5891988,PQ FLEX PROFESSIONAL BLANCO 3111 0.3L,58,18.0,2026-04-13,2260.0,423,ACTIVO
5893216,ACRILICA MANT BRILL 11A44A/20L/AA7,54,13.0,2026-03-31,47.0,16,ACTIVO
F51060391,LIJA ROJA ABRACOL #400,0,1268.0,2026-03-28,3856.0,108,ACTIVO
5891699,PQ KORAZA MAT BASE PASTEL 0.95L,58,206.0,2026-04-13,1272.0,910,ACTIVO
5893488,ZP MONTANA 94 MAT ULTRVI EX0140173M 0.4L,65,38.0,2026-04-01,113.0,82,ACTIVO
F51060382,LIJA ROJA ABRACOL #80,0,1342.0,2026-04-13,7760.0,185,ACTIVO
5890763,IQ VINILICO MAT BLANCO 2027155 3.79L,62,34.0,2026-04-13,8790.0,2573,ACTIVO
5890373,PQ VINILTEX ADV MAT BLANCO 1501 0.95L,58,75.0,2026-04-13,4346.0,1489,ACTIVO
5893500,ZP MONTANA 94 MAT FLUOR EX0140607M 0.4L,65,22.0,2026-04-07,145.0,127,ACTIVO
F51019091,CEMENTO BLANCO BULTO,0,0,2025-05-10,1.0,1,ACTIVO
F51060693,SILICONA ACÉTICA AFIX BLANCA 50 ML,0,553.0,2026-04-07,500.0,53,ACTIVO
6448845,RODILLO MICROFIBRA 9 PULG 9/16 PINTUCO,65,3.0,2026-03-25,39.0,32,ACTIVO
F51060790,ESCUADRA REFUERZO 38x38x38mm T1303-0041,0,5.0,2026-03-19,8.0,6,ACTIVO
F51003362,YESO COMUN X BULTO,0,0,2025-05-19,4.0,2,ACTIVO
5890487,PQ PINTULUX MP BR NEGRO 95 0.95L,58,0,2025-11-14,2.0,2,ACTIVO
5894313,ZP MONTANA HC BR VIOLETA EX014H0214 0.4L,65,15.0,2026-03-16,38.0,34,ACTIVO
5893483,ZP MONTANA 94 MAT AZUL E EX0140160M 0.4L,65,39.0,2026-02-27,103.0,90,ACTIVO
F6514801,"BROCHA GOYA POPULAR 1""""""",0,638.0,2026-04-13,13383.0,1516,ACTIVO
5892605,TE VINIL PLUS MAT BASE ACCEN 95203 9.46L,63,15.0,2026-04-06,225.0,213,ACTIVO
5892279,PQ PINTUCO FILL 7 NEGRO 2752 4.2K,58,2.0,2025-09-29,12.0,10,ACTIVO
F51060533,AJUSTADOR PARA PINTUTRAFICO 21121 BOTELL,0,14.0,2026-03-03,1265.0,244,ACTIVO
5857692,PQ COLORANTE BAJO VOC AMARIL OXI 0.95L,55,142.0,2026-04-08,883.0,402,ACTIVO
5891879,P7 INTERVINIL PRO 200 MAT BL 2596 18.93L,56,165.0,2026-04-13,5091.0,1440,ACTIVO
5891097,PQ IMPRIMAX BLANCO 3501 18.93L,58,11.0,2026-03-24,270.0,147,ACTIVO
F51060481,LLANA ACERO INOXIDABLE GOYA,0,142.0,2026-04-10,949.0,293,ACTIVO
5891957,PQ PINTULUX 3EN1 BR AZUL ESPA 40 3.79L,58,24.0,2026-04-08,1631.0,534,ACTIVO
5891888,P7 KOR PRO 550 MAT BA ACCEN 27477 18.93L,56,264.0,2026-04-13,1960.0,1012,ACTIVO
5864437,MEG BC MG32P8F PERLA VERDE FINA AC 0.94L,57,6.0,2026-01-30,6.0,6,ACTIVO
5894328,ZP MONTANA HC BR GRIS CL EX014H0006 0.4L,65,8.0,2026-03-20,22.0,21,ACTIVO
5894361,ZP MONTANA 94 MAT AZUL E EX0140030M 0.4L,65,49.0,2026-04-01,200.0,133,ACTIVO
F51060690,SILICONA ACETICO VIDRIO Y AL TRANS 280ML,0,117.0,2026-04-13,2633.0,230,ACTIVO
