tipo_documento,archivo_actual,nombre_recomendado,accion,nota,lookup_inventario_sugerido,ejemplo_erp_encontrado,ref_erp_ejemplo,familia_canonica,marca,estado_validacion,match_source,match_score,match_query_usada,nombre_recomendado_auto,accion_auto,estado_validacion_auto,nota_auto
ficha_tecnica,AJUSTADOR XILOL 21204.pdf,AJUSTADOR XILOL.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> AJUSTADOR XILOL",ajustador xilol 21204,AJUSTADOR XILOL 21204 GTA007/20L/AA7,5891066,AJUSTADOR XILOL 21204,,validado_automatico,db:vw_inventario_agente,90.0,AJUSTADOR XILOL 21204,AJUSTADOR XILOL.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> AJUSTADOR XILOL"
ficha_tecnica,VINILTEX PRO 450.pdf,VINILTEX PRO 450 MATE.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> VINILTEX PRO 450 MATE",viniltex pro 450,P7 VINILTEX PRO 450 MAT BLAN 1601 18.93L,5891877,VINILTEX PRO 450,PINTUCO,validado_automatico,db:vw_inventario_agente,90.0,VINILTEX PRO 450,VINILTEX PRO 450 MATE.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> VINILTEX PRO 450 MATE"
ficha_tecnica,ESTUCO PROFESIONAL OBRA.pdf,ESTUCO PROFESIONAL OBRAS.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> ESTUCO PROFESIONAL OBRAS",estuco profesional obra,ESTUCO PROFESIONAL OBRAS BLANCO 300 KG,10249635,ESTUCO PROFESIONAL OBRA,,validado_automatico,db:vw_inventario_agente,90.0,ESTUCO PROFESIONAL OBRA,ESTUCO PROFESIONAL OBRAS.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> ESTUCO PROFESIONAL OBRAS"
ficha_tecnica,CORROTEC EPOXI ZINC 2K 10073.pdf,EPOXY ZINC PRIMER 10073I.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> EPOXY ZINC PRIMER 10073I",corrotec epoxi zinc 2k 10073,EPOXY ZINC PRIMER 10073I UEA604/3.7L/AA7,5893358,EPOXY ZINC PRIMER 10073,INTERNATIONAL,validado_automatico,db:vw_inventario_agente,90.0,EPOXY ZINC PRIMER 10073,EPOXY ZINC PRIMER 10073I.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> EPOXY ZINC PRIMER 10073I"
ficha_tecnica,EPOXIPOLIAMIDA.pdf,EPOXIPOLIAMIDA REENVASE.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> EPOXIPOLIAMIDA REENVASE",epoxipoliamida,EPOXIPOLIAMIDA REENVASE,56254719,EPOXIPOLIAMIDA,,validado_automatico,db:vw_inventario_agente,90.0,EPOXIPOLIAMIDA,EPOXIPOLIAMIDA REENVASE.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> EPOXIPOLIAMIDA REENVASE"
ficha_tecnica,DESMOLDANTE GLASST PRIME.pdf,DESMOLDANTE GLASST PRIME CANECA.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> DESMOLDANTE GLASST PRIME CANECA",desmoldante glasst prime,DESMOLDANTE GLASST PRIME CANECA 20 KG,20012861,DESMOLDANTE GLASST PRIME,,validado_automatico,db:vw_inventario_agente,90.0,DESMOLDANTE GLASST PRIME,DESMOLDANTE GLASST PRIME CANECA.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> DESMOLDANTE GLASST PRIME CANECA"
ficha_tecnica,DRYWALL TIPO 2.pdf,DRYWALL TIPO BLANCO 3780 CANECA.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> DRYWALL TIPO BLANCO 3780 CANECA",drywall tipo 2,DRYWALL TIPO 2 BLANCO 3780 CANECA 5 GL,10359154,DRYWALL TIPO 2,,validado_automatico,db:vw_inventario_agente,90.0,DRYWALL TIPO 2,DRYWALL TIPO BLANCO 3780 CANECA.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> DRYWALL TIPO BLANCO 3780 CANECA"
ficha_tecnica,CONSTRUCLEANER LIMPIADOR NO CORROSIVO.pdf,CONSTRUCLEANER LIMPIADOR NO CORROSIVO.pdf,revisar,"Match encontrado en inventario (db:vw_inventario_agente, score 85.5), pero la propuesta automática parece demasiado SKU-específica o dudosa; revisar manualmente",construcleaner limpiador no corrosivo,GASTOS NO DEDUCIBLES,53159501,CONSTRUCLEANER LIMPIADOR NO CORROSIVO,CONSTRUCLEANER,revisar_manual,db:vw_inventario_agente,85.5,CONSTRUCLEANER LIMPIADOR NO CORROSIVO,GASTOS NO DEDUCIBLES.pdf,revisar,revisar_manual,"Match encontrado en inventario (db:vw_inventario_agente, score 85.5), pero la propuesta automática parece demasiado SKU-específica o dudosa; revisar manualmente"
ficha_tecnica,BARNEX EXTRA PROTECCIÓN.pdf,BARNEX EXTERIOR SEMIBTE.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> BARNEX EXTERIOR SEMIBTE",barnex extra proteccion,BARNEX EXTERIOR SEMIBTE NARANJA 6608 1G,10014651,BARNEX EXTRA PROTECCION,BARNEX,validado_con_revision,db:vw_inventario_agente,85.5,BARNEX EXTRA PROTECCION,BARNEX EXTERIOR SEMIBTE.pdf,renombrar,validado_con_revision,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> BARNEX EXTERIOR SEMIBTE"
ficha_tecnica,PINTUCOAT PLUS.pdf,PINTUCOAT PLUS.pdf,revisar,"Match encontrado en inventario (db:vw_inventario_agente, score 90.0), pero la propuesta automática parece demasiado SKU-específica o dudosa; revisar manualmente",pintucoat plus,KIT PINTUCOAT PLUS A.S BLANC 1G Y CAT 1G,20003771,PINTUCOAT PLUS,PINTUCO,revisar_manual,db:vw_inventario_agente,90.0,PINTUCOAT PLUS,KIT PINTUCOAT PLUS A.S BLANC Y CAT.pdf,revisar,revisar_manual,"Match encontrado en inventario (db:vw_inventario_agente, score 90.0), pero la propuesta automática parece demasiado SKU-específica o dudosa; revisar manualmente"
ficha_tecnica,AJUSTADOR EPÓXICO 21209.pdf,AJUSTADOR EPOXICO 21209 GALON.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 95.0) -> AJUSTADOR EPOXICO 21209 GALON",ajustador epoxico 21209,AJUSTADOR EPOXICO 21209 GALON,56252079,AJUSTADOR EPOXICO 21209,,validado_automatico,db:vw_inventario_agente,95.0,AJUSTADOR EPOXICO 21209,AJUSTADOR EPOXICO 21209 GALON.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 95.0) -> AJUSTADOR EPOXICO 21209 GALON"
ficha_tecnica,CORROTEC.pdf,CORROTEC.pdf,revisar,"Match encontrado en inventario (db:vw_inventario_agente, score 90.0), pero la propuesta automática parece demasiado SKU-específica o dudosa; revisar manualmente",corrotec,CORROTEC P. EPOX 50RS GRIS 1G Y CAT 1G,10703066,CORROTEC,,revisar_manual,db:vw_inventario_agente,90.0,CORROTEC,CORROTEC P. EPOX 50RS GRIS Y CAT.pdf,revisar,revisar_manual,"Match encontrado en inventario (db:vw_inventario_agente, score 90.0), pero la propuesta automática parece demasiado SKU-específica o dudosa; revisar manualmente"
ficha_tecnica,SILICONITE 7W.pdf,SILICONITE 7W TRANSPARENTE.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> SILICONITE 7W TRANSPARENTE",siliconite 7w,PQ SILICONITE 7W TRANSPAREN 3009 18.93L,5892022,SILICONITE 7W,,validado_automatico,db:vw_inventario_agente,90.0,SILICONITE 7W,SILICONITE 7W TRANSPARENTE.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> SILICONITE 7W TRANSPARENTE"
ficha_tecnica,SILICONITE 10.pdf,SILICONITE TRANSPARENTE.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> SILICONITE TRANSPARENTE",siliconite 10,PQ SILICONITE 10 TRANSPAREN 3104 208.17L,5892032,SILICONITE 10,,validado_automatico,db:vw_inventario_agente,90.0,SILICONITE 10,SILICONITE TRANSPARENTE.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> SILICONITE TRANSPARENTE"
ficha_tecnica,SELLADOR DE CORROSIÓN.pdf,SELLADOR DE CORROSION.pdf,mantener,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> SELLADOR DE CORROSION",sellador de corrosion,SELLADOR DE CORROSION UFA800/1L/AA7,5892204,SELLADOR DE CORROSION,,validado_automatico,db:vw_inventario_agente,90.0,SELLADOR DE CORROSION,SELLADOR DE CORROSION.pdf,mantener,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> SELLADOR DE CORROSION"
ficha_tecnica,ALTA TEMPERATURA GRIS 902.pdf,ALTAS TEMPERATURAS.pdf,renombrar,"Cruce automático desde inventario (backend_lookup, score 90.0) -> ALTAS TEMPERATURAS",alta temperatura gris 902,ALTAS TEMPERATURAS 901 UEA750/3.7L/AA7,5890596,ALTA TEMPERATURA 902,,validado_automatico,backend_lookup,90.0,ALTA TEMPERATURA 902,ALTAS TEMPERATURAS.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (backend_lookup, score 90.0) -> ALTAS TEMPERATURAS"
ficha_tecnica,CONSTRUCLEANER RINSE LADRILLO ROJO.pdf,CONSTRUCLEANER RINSE LADRILLO ROJ ..pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 89.2) -> CONSTRUCLEANER RINSE LADRILLO ROJ .",construcleaner rinse ladrillo rojo,CONSTRUCLEANER RINSE LADRILLO ROJ 52.83G,10347881,CONSTRUCLEANER RINSE LADRILLO ROJO,CONSTRUCLEANER,validado_con_revision,db:vw_inventario_agente,89.19,CONSTRUCLEANER RINSE LADRILLO ROJO,CONSTRUCLEANER RINSE LADRILLO ROJ ..pdf,renombrar,validado_con_revision,"Cruce automático desde inventario (db:vw_inventario_agente, score 89.2) -> CONSTRUCLEANER RINSE LADRILLO ROJ ."
ficha_tecnica,MASILLA POLIESTER P1500.pdf,MEG MASILLA POLIESTER P1500 AC.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> MEG MASILLA POLIESTER P1500 AC",masilla poliester p1500,MEG MASILLA POLIESTER P1500 AC 0.75KG,5899562,MASILLA POLIESTER P1500,,validado_automatico,db:vw_inventario_agente,90.0,MASILLA POLIESTER P1500,MEG MASILLA POLIESTER P1500 AC.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> MEG MASILLA POLIESTER P1500 AC"
ficha_tecnica,ASEPSIA ULTRA.pdf,ASEPSIA ULTRA.pdf,mantener,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> ASEPSIA ULTRA",asepsia ultra,P7 ASEPSIA ULTRA BLANCO 27081 3.79L,5893351,ASEPSIA ULTRA,,validado_automatico,db:vw_inventario_agente,90.0,ASEPSIA ULTRA,ASEPSIA ULTRA.pdf,mantener,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> ASEPSIA ULTRA"
ficha_tecnica,ESTUCO ACRILICO EXTERIOR FICHA TECNICA ACTUALIZADA.pdf,BARNEX EXTERIOR SEMIBTE.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> BARNEX EXTERIOR SEMIBTE",estuco acrilico exterior,BARNEX EXTERIOR SEMIBTE NARANJA 6608 1G,10014651,ESTUCO ACRILICO EXTERIOR,,validado_con_revision,db:vw_inventario_agente,85.5,ESTUCO ACRILICO EXTERIOR,BARNEX EXTERIOR SEMIBTE.pdf,renombrar,validado_con_revision,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> BARNEX EXTERIOR SEMIBTE"
