segmento;familia_rag;source_doc;calidad_match;match1_ref;match1_desc;match1_stock;match2_ref;match2_desc;match3_ref;match3_desc;REFERENCIA_CORRECTA;TEXTO_BUSQUEDA_INVENTARIO
auxiliares_aplicacion;AJUSTADOR PARA EPOXICAS 21209;AJUSTADOR PARA EPOXICAS 21209.pdf;PROBABLE_OK;F51060533;AJUSTADOR PARA PINTUTRAFICO 21121 BOTELL;14.0;5892179;MH AJUSTADOR PARA EQUIPOS 21125 208.2L;;;F0116621209;AJUSTADOR PINT EPOX BOTELLA 209
auxiliares_aplicacion;AJUSTADOR PARA POLIURETANO 21116;AJUSTADOR PARA POLIURETANO 21116.pdf;PROBABLE_OK;F51060533;AJUSTADOR PARA PINTUTRAFICO 21121 BOTELL;14.0;5892179;MH AJUSTADOR PARA EQUIPOS 21125 208.2L;;;;
auxiliares_aplicacion;AJUSTADOR XILOL 21204;AJUSTADOR XILOL 21204.pdf;PROBABLE_OK;5891066;AJUSTADOR XILOL 21204 GTA007/20L/AA7;6.0;;;;;F0116621204;AJUSTADOR MEDIO TRAFICO BOTELLA 204
auxiliares_aplicacion;THINNER CORRIENTE 21219;THINNER CORRIENTE 21219.pdf;PROBABLE_OK;51000004;THINNER CORRIENTE BT;772.0;56252095;THINNER CORRIENTE GALON;56252093;THINNER CORRIENTE  BOTELLA;;
auxiliares_aplicacion;AJUSTADOR ECONOMICO UNIVERSAL FT 21126;AJUSTADOR ECONÓMICO UNIVERSAL FT 21126.PDF;REVISAR;F0116621209;AJUSTADOR PINT EPOX BOTELLA 209;280.5;F0116621204;AJUSTADOR MEDIO TRAFICO BOTELLA 204;5891067;MPY AJUSTADOR 21209 UFA153/20L/AA7;;
auxiliares_aplicacion;AJUSTADOR PARA LIMPIEZA DE SUPERFICIES METALICAS 21242;AJUSTADOR PARA LIMPIEZA DE SUPERFICIES METALICAS 21242.pdf;REVISAR;F51060533;AJUSTADOR PARA PINTUTRAFICO 21121 BOTELL;14.0;5892179;MH AJUSTADOR PARA EQUIPOS 21125 208.2L;;;;
auxiliares_aplicacion;THINNER CENTRAL DE DISOLVENTES;FICHA TECNICA THINNER CENTRAL DE DISOLVENTES.pdf;REVISAR;51000004;THINNER CORRIENTE BT;772.0;56252095;THINNER CORRIENTE GALON;56252093;THINNER CORRIENTE  BOTELLA;56252093;THINNER CORRIENTE BOTELLA
auxiliares_aplicacion;THINNER PARA ACRILICAS 21018;THINNER PARA ACRILICAS 21018.pdf;REVISAR;51000004;THINNER CORRIENTE BT;772.0;56252095;THINNER CORRIENTE GALON;56252093;THINNER CORRIENTE  BOTELLA;;
auxiliares_aplicacion;THINNER PARA POLIURETANO 21050;THINNER PARA POLIURETANO 21050.pdf;REVISAR;51000004;THINNER CORRIENTE BT;772.0;56252095;THINNER CORRIENTE GALON;56252093;THINNER CORRIENTE  BOTELLA;;
herrajes_seguridad;ACCENT;Ficha Tecnica Accent.pdf;PROBABLE_OK;5971521;PQ KZA S ACRI PREC ESP B ACCENT 1G DISTR;235.0;5892755;PQ PINTULUX 3EN1 BR BASE ACCENT 0.95L;5891346;PQ KORAZA MAT BASE ACCENT 127477 18.93L;;
